ecotrait,basin,year,subtractive,additive
microhab_pom,CR01,2018,0.000159446,0.000158798
microhab_oth,CR01,2018,0.000438479,-0.000114111
tachtemp_psy,CR01,2018,-0.000401148,6.48E-05
tachtemp_the,CR01,2018,0.000148876,0.000349008
tachtemp_eut,CR01,2018,-0.001173614,-0.000659514
tachsap_x,CR01,2018,3.25E-05,-0.000335022
tachsap_o,CR01,2018,0.000463679,-0.000364512
tachsap_b,CR01,2018,-5.89E-05,-0.000127925
tachsap_a,CR01,2018,0.00065791,-0.000156806
tachsap_p,CR01,2018,0.000232577,-0.000143554
microhab_arg,CR01,2019,-0.000151942,7.31E-05
microhab_pel,CR01,2019,0.000818033,-0.000855366
microhab_psa,CR01,2019,-0.001619525,0.001076949
microhab_aka,CR01,2019,-0.001402476,0.000838043
microhab_lit,CR01,2019,0.000821267,-0.000220022
microhab_phy,CR01,2019,-8.30E-05,0.000116426
microhab_pom,CR01,2019,0.000159005,0.000508687
microhab_oth,CR01,2019,0.00058048,-0.000645484
tachtemp_psy,CR01,2019,8.06E-06,0.000603911
tachtemp_the,CR01,2019,0.000334047,-0.000368794
tachtemp_eut,CR01,2019,-0.000209895,-4.81E-05
tachsap_x,CR01,2019,0.000391977,0.000309875
tachsap_o,CR01,2019,0.000468763,-0.000185785
tachsap_b,CR01,2019,-0.000221281,0.000108951
tachsap_a,CR01,2019,-0.000235324,-0.000139221
tachsap_p,CR01,2019,0.000359912,-0.000254735
microhab_arg,CR01,2020,1.84E-06,6.66E-05
microhab_pel,CR01,2020,0.000283465,-0.000944946
microhab_psa,CR01,2020,-0.001468282,0.000388401
microhab_aka,CR01,2020,-0.001125197,0.000895393
microhab_lit,CR01,2020,0.000857891,-0.000580186
microhab_phy,CR01,2020,-0.000300859,0.000230443
microhab_pom,CR01,2020,-0.000966687,-0.000137406
microhab_oth,CR01,2020,0.000254798,-0.001071129
tachtemp_psy,CR01,2020,0.000254798,-0.000519342
tachtemp_the,CR01,2020,0.000143404,0.000653771
tachtemp_eut,CR01,2020,0.001466624,-0.000680055
tachsap_x,CR01,2020,8.06E-05,0.000114607
tachsap_o,CR01,2020,0.000307891,-0.000321904
tachsap_b,CR01,2020,-0.00041305,0.000384089
tachsap_a,CR01,2020,0.000219864,6.67E-05
tachsap_p,CR01,2020,0.000407272,-0.000380529
microhab_arg,CR01,2021,-0.000202097,9.35E-05
microhab_pel,CR01,2021,0.000910468,0.000884686
microhab_psa,CR01,2021,-0.001169605,0.001574038
microhab_aka,CR01,2021,-0.000891069,0.000725548
microhab_lit,CR01,2021,-0.001725779,0.00352274
microhab_phy,CR01,2021,-0.000162892,0.000590924
microhab_pom,CR01,2021,0.000202745,0.000345513
microhab_oth,CR01,2021,0.00080215,0.000308548
tachtemp_psy,CR01,2021,-0.000209205,0.000119043
tachtemp_the,CR01,2021,-9.84E-06,0.003842481
tachtemp_eut,CR01,2021,0.000458687,-0.000857922
tachsap_x,CR01,2021,-6.92E-05,0.000116642
tachsap_o,CR01,2021,0.000223691,-0.000345989
tachsap_b,CR01,2021,0.000181973,-0.00024074
tachsap_a,CR01,2021,5.75E-05,-0.000604955
tachsap_p,CR01,2021,0.000375354,-0.000212262
microhab_arg,CR02,2013,-2.40E-05,0.000259612
microhab_pel,CR02,2013,0.004901544,0.000349462
microhab_psa,CR02,2013,-0.000423622,0.000584679
microhab_aka,CR02,2013,-0.000533413,0.000530324
microhab_lit,CR02,2013,-0.00083345,-0.000136892
microhab_phy,CR02,2013,-0.0009942,-0.000748218
microhab_pom,CR02,2013,0.000164944,0.000946913
microhab_oth,CR02,2013,0.002934407,6.75E-05
tachtemp_psy,CR02,2013,0.002518565,0.000153336
tachtemp_the,CR02,2013,0.000969154,4.27E-05
tachtemp_eut,CR02,2013,9.13E-05,0.001605488
tachsap_x,CR02,2013,0.001116138,-9.93E-05
tachsap_o,CR02,2013,0.001490117,0.000416268
tachsap_b,CR02,2013,0.000274257,0.002089187
tachsap_a,CR02,2013,-6.03E-05,-0.000218431
tachsap_p,CR02,2013,0.001211071,-3.42E-05
microhab_arg,CR02,2014,-0.000446154,0.000105092
microhab_pel,CR02,2014,0.000342892,-0.000349157
microhab_psa,CR02,2014,-0.000417255,0.001604915
microhab_aka,CR02,2014,8.29E-05,0.001021837
microhab_lit,CR02,2014,0.001195728,0.000537303
microhab_phy,CR02,2014,-0.001700051,0.000721366
microhab_pom,CR02,2014,-6.40E-05,0.000299115
microhab_oth,CR02,2014,0.000385699,0.000863278
tachtemp_psy,CR02,2014,6.66E-05,7.11E-05
tachtemp_the,CR02,2014,0.000208151,-0.00013344
tachtemp_eut,CR02,2014,0.003456749,-0.001102177
tachsap_x,CR02,2014,-5.59E-05,8.44E-05
tachsap_o,CR02,2014,0.0003471,3.46E-05
tachsap_b,CR02,2014,0.001147569,-0.000427271
tachsap_a,CR02,2014,0.000279306,0.000108556
tachsap_p,CR02,2014,0.000158341,-8.81E-05
microhab_arg,CR02,2015,-0.00023739,-7.31E-06
microhab_pel,CR02,2015,-0.000325566,-0.000195556
microhab_psa,CR02,2015,0,-6.61E-05
microhab_aka,CR02,2015,0,-0.000555316
microhab_lit,CR02,2015,-0.001017923,-0.002547892
microhab_phy,CR02,2015,0.00111298,0.001160238
microhab_pom,CR02,2015,-0.000478933,4.64E-05
microhab_oth,CR02,2015,-0.000438462,0
tachtemp_psy,CR02,2015,-0.001134057,-0.00022576
tachtemp_the,CR02,2015,-0.000667177,-2.53E-05
tachtemp_eut,CR02,2015,0.000384293,-0.003209814
tachsap_x,CR02,2015,0.000248642,-9.43E-05
tachsap_o,CR02,2015,0.000404948,-0.000259068
tachsap_b,CR02,2015,0.000117839,-0.001628493
tachsap_a,CR02,2015,1.79E-05,-2.12E-05
tachsap_p,CR02,2015,-0.000141698,-1.50E-05
microhab_arg,CR02,2016,7.11E-06,0.00030231
microhab_pel,CR02,2016,0.00116273,-0.002137954
microhab_psa,CR02,2016,-0.001148146,2.29E-06
microhab_aka,CR02,2016,-0.001157957,0.000115014
microhab_lit,CR02,2016,-0.001549971,0.000817646
microhab_phy,CR02,2016,0.000697005,-0.000668924
microhab_pom,CR02,2016,-0.000118777,0.001143255
microhab_oth,CR02,2016,0.000406504,-0.000652126
tachtemp_psy,CR02,2016,0.000932436,-0.000407365
tachtemp_the,CR02,2016,-4.34E-05,6.76E-05
tachtemp_eut,CR02,2016,-0.001582575,0.000960184
tachsap_x,CR02,2016,-0.000309993,-0.000164386
tachsap_o,CR02,2016,-0.000742597,-0.000336395
tachsap_b,CR02,2016,-0.000635221,0.001058026
tachsap_a,CR02,2016,-0.00026672,-5.79E-05
tachsap_p,CR02,2016,0.000220362,-0.00033924
microhab_arg,CR02,2017,-0.000242923,6.19E-05
microhab_pel,CR02,2017,9.48E-05,0.000914281
microhab_psa,CR02,2017,0.000322933,0.000646242
microhab_aka,CR02,2017,0.000636617,0.000694726
microhab_lit,CR02,2017,4.70E-05,0.001739759
microhab_phy,CR02,2017,0.000273475,0.000696312
microhab_pom,CR02,2017,-0.000964663,-0.000189893
microhab_oth,CR02,2017,8.16E-05,-0.000421152
tachtemp_psy,CR02,2017,-0.00013214,0.000411089
tachtemp_the,CR02,2017,2.72E-05,-0.000209285
tachtemp_eut,CR02,2017,0.001435173,-0.000158894
tachsap_x,CR02,2017,-5.41E-06,0.00010533
tachsap_o,CR02,2017,2.01E-06,0.000310981
tachsap_b,CR02,2017,-0.000113902,-0.000151605
tachsap_a,CR02,2017,0.000201943,-6.27E-05
tachsap_p,CR02,2017,1.34E-05,0.000163421
microhab_arg,CR02,2018,-2.40E-05,0.000259612
microhab_pel,CR02,2018,0.004901544,0.000349462
microhab_psa,CR02,2018,-0.000423622,0.000584679
microhab_aka,CR02,2018,-0.000533413,0.000530324
microhab_lit,CR02,2018,-0.00083345,-0.000136892
microhab_phy,CR02,2018,-0.0009942,-0.000748218
microhab_pom,CR02,2018,0.000164944,0.000946913
microhab_oth,CR02,2018,0.002934407,6.75E-05
tachtemp_psy,CR02,2018,0.002518565,0.000153336
tachtemp_the,CR02,2018,0.000969154,4.27E-05
tachtemp_eut,CR02,2018,9.13E-05,0.001605488
tachsap_x,CR02,2018,0.001116138,-9.93E-05
tachsap_o,CR02,2018,0.001490117,0.000416268
tachsap_b,CR02,2018,0.000274257,0.002089187
tachsap_a,CR02,2018,-6.03E-05,-0.000218431
tachsap_p,CR02,2018,0.001211071,-3.42E-05
microhab_arg,DE01,2000,-3.64E-05,-1.31E-05
microhab_pel,DE01,2000,0.003536035,0.00052367
microhab_psa,DE01,2000,2.16E-05,0.000524064
microhab_aka,DE01,2000,-0.001593052,0.006072864
microhab_lit,DE01,2000,0.002323075,0.001116218
microhab_phy,DE01,2000,-0.000211816,0.000835118
microhab_pom,DE01,2000,-0.001349955,0.001716177
microhab_oth,DE01,2000,0.000424396,1.41E-05
tachtemp_psy,DE01,2000,0.004717584,-0.000930807
tachtemp_the,DE01,2000,0.000755223,-0.001057872
tachtemp_eut,DE01,2000,0.000743943,0.002839011
tachsap_x,DE01,2000,0,-0.000190574
tachsap_o,DE01,2000,-0.0025561,-0.000891165
tachsap_b,DE01,2000,0.000900045,0.000377013
tachsap_a,DE01,2000,-0.000318938,0.000628521
tachsap_p,DE01,2000,-0.000870029,0.000704478
microhab_arg,DE01,2001,-1.78E-05,-1.88E-06
microhab_pel,DE01,2001,-0.002814805,-0.007382271
microhab_psa,DE01,2001,0.003699684,0.000323642
microhab_aka,DE01,2001,0.003191057,-0.00244396
microhab_lit,DE01,2001,-0.000293037,0.001122804
microhab_phy,DE01,2001,0.000104028,0.000585929
microhab_pom,DE01,2001,-0.000536452,0.003254786
microhab_oth,DE01,2001,0,0.000348428
tachtemp_psy,DE01,2001,0.005577105,0.002684612
tachtemp_the,DE01,2001,0.000188557,0.002114268
tachtemp_eut,DE01,2001,0.001288319,0.000926873
tachsap_x,DE01,2001,0.001007129,-0.000855979
tachsap_o,DE01,2001,7.65E-05,-0.002572846
tachsap_b,DE01,2001,0.001657168,0.000943173
tachsap_a,DE01,2001,-0.000669961,0.000386542
tachsap_p,DE01,2001,0.000175191,-0.000192261
microhab_arg,DE01,2002,1.31E-06,0.000346215
microhab_pel,DE01,2002,0.000718279,-0.00485995
microhab_psa,DE01,2002,-0.002464254,-0.001914947
microhab_aka,DE01,2002,0.000345153,-0.003744147
microhab_lit,DE01,2002,-0.005116756,-0.003644488
microhab_phy,DE01,2002,0.000531276,-0.001338702
microhab_pom,DE01,2002,-0.003347361,-0.004103037
microhab_oth,DE01,2002,-0.000694881,-0.000921576
tachtemp_psy,DE01,2002,0,-0.00022044
tachtemp_the,DE01,2002,-0.005647625,-0.003196672
tachtemp_eut,DE01,2002,0.003029978,-0.000676132
tachsap_x,DE01,2002,0.000397206,-0.001114299
tachsap_o,DE01,2002,0.00151948,-0.000432345
tachsap_b,DE01,2002,0.001444751,-0.00054127
tachsap_a,DE01,2002,0.000458997,-0.000445667
tachsap_p,DE01,2002,-0.001664355,-0.001093404
microhab_arg,DE01,2003,-0.000277665,0
microhab_pel,DE01,2003,0.001318807,0.010090652
microhab_psa,DE01,2003,0.001720531,0.00330332
microhab_aka,DE01,2003,0.003658829,-0.000531531
microhab_lit,DE01,2003,0.002646003,-0.00220061
microhab_phy,DE01,2003,-0.000574597,-0.000851701
microhab_pom,DE01,2003,0.003900687,0.004239849
microhab_oth,DE01,2003,8.46E-05,0.001923616
tachtemp_psy,DE01,2003,-0.006331186,-0.002589772
tachtemp_the,DE01,2003,0.001772653,0.004855177
tachtemp_eut,DE01,2003,-0.001433309,-0.002824562
tachsap_x,DE01,2003,8.36E-06,-0.000321127
tachsap_o,DE01,2003,-0.003790589,-0.000280733
tachsap_b,DE01,2003,-0.002353262,-0.000312789
tachsap_a,DE01,2003,-1.40E-05,-0.000261697
tachsap_p,DE01,2003,-0.000166084,0.001876892
microhab_arg,DE01,2004,1.68E-05,2.61E-05
microhab_pel,DE01,2004,-0.00789513,0.004817445
microhab_psa,DE01,2004,-0.00153007,-0.001724362
microhab_aka,DE01,2004,0.000238257,-3.56E-05
microhab_lit,DE01,2004,0.004759666,-0.005100561
microhab_phy,DE01,2004,0.003052079,-0.001043077
microhab_pom,DE01,2004,-0.000500249,4.85E-05
microhab_oth,DE01,2004,-0.001068869,0.000151612
tachtemp_psy,DE01,2004,0.001206292,0.003885562
tachtemp_the,DE01,2004,-0.00139722,-0.002671804
tachtemp_eut,DE01,2004,0.002506952,-0.001333093
tachsap_x,DE01,2004,7.41E-05,-0.000275659
tachsap_o,DE01,2004,0.00027445,0.000843254
tachsap_b,DE01,2004,0.001126592,-0.000872023
tachsap_a,DE01,2004,-0.000208435,0.001867057
tachsap_p,DE01,2004,-0.000501604,-0.001059929
microhab_arg,DE01,2005,-0.00012209,-1.39E-05
microhab_pel,DE01,2005,-0.004215463,0.001147217
microhab_psa,DE01,2005,-2.66E-05,-2.77E-05
microhab_aka,DE01,2005,0.001545009,0.010859904
microhab_lit,DE01,2005,0.003198808,0.005449782
microhab_phy,DE01,2005,-5.32E-05,-6.97E-05
microhab_pom,DE01,2005,-0.00335282,-0.000675893
microhab_oth,DE01,2005,-0.000483866,1.55E-05
tachtemp_psy,DE01,2005,-0.005539848,-0.001418482
tachtemp_the,DE01,2005,-0.00141446,0.003615823
tachtemp_eut,DE01,2005,0.000943156,-0.001601966
tachsap_x,DE01,2005,-0.000261035,-2.28E-05
tachsap_o,DE01,2005,-0.000821676,-0.001159115
tachsap_b,DE01,2005,0.001204184,-0.001459434
tachsap_a,DE01,2005,-0.001097549,-0.000739909
tachsap_p,DE01,2005,-0.000119964,0.001339368
microhab_arg,DE01,2006,1.63E-05,0.000146818
microhab_pel,DE01,2006,0.001189243,-0.003416002
microhab_psa,DE01,2006,0.000321551,0.00321589
microhab_aka,DE01,2006,-0.012402771,-0.003202237
microhab_lit,DE01,2006,-8.34E-05,-0.005662001
microhab_phy,DE01,2006,0.001090976,-0.000828556
microhab_pom,DE01,2006,0.002176444,0.006286948
microhab_oth,DE01,2006,0.000303008,-0.000354228
tachtemp_psy,DE01,2006,0.003663077,0.004220327
tachtemp_the,DE01,2006,-0.000121975,-0.001266684
tachtemp_eut,DE01,2006,0.000652014,-0.001259566
tachsap_x,DE01,2006,0.000888411,4.20E-05
tachsap_o,DE01,2006,0.000885898,0.001872468
tachsap_b,DE01,2006,0.000315051,-0.001843418
tachsap_a,DE01,2006,0.001117501,0.000521774
tachsap_p,DE01,2006,-0.000479499,-0.000707534
microhab_arg,DE01,2007,-8.74E-05,-2.38E-05
microhab_pel,DE01,2007,0.005846576,-0.001045056
microhab_psa,DE01,2007,-0.002966386,-0.000108266
microhab_aka,DE01,2007,0.000691507,0.001932235
microhab_lit,DE01,2007,0.000251362,-0.005486527
microhab_phy,DE01,2007,0.001982708,-0.003125
microhab_pom,DE01,2007,-0.003162293,-0.002342008
microhab_oth,DE01,2007,-9.75E-06,-0.000390772
tachtemp_psy,DE01,2007,-0.001876958,-0.001148683
tachtemp_the,DE01,2007,-0.001927026,-0.001639331
tachtemp_eut,DE01,2007,-0.000399306,0.001700454
tachsap_x,DE01,2007,0.000329268,-3.01E-05
tachsap_o,DE01,2007,-0.000991587,-0.000411334
tachsap_b,DE01,2007,0.000121094,0.002308957
tachsap_a,DE01,2007,0.000453269,0.00079504
tachsap_p,DE01,2007,0.000824984,-3.14E-05
microhab_arg,DE01,2008,2.39E-05,3.24E-05
microhab_pel,DE01,2008,0.001193044,-0.004529461
microhab_psa,DE01,2008,0.00102166,-0.000222568
microhab_aka,DE01,2008,-0.001420945,0.007018393
microhab_lit,DE01,2008,0.012450698,0.004581135
microhab_phy,DE01,2008,0.00010871,0.000446263
microhab_pom,DE01,2008,-0.004580846,-0.001191733
microhab_oth,DE01,2008,0.000100703,0.000353307
tachtemp_psy,DE01,2008,7.04E-05,0.002946326
tachtemp_the,DE01,2008,0.000420515,0.002671296
tachtemp_eut,DE01,2008,0.006410946,0.000720065
tachsap_x,DE01,2008,-1.32E-05,-0.00016411
tachsap_o,DE01,2008,0,-0.001330522
tachsap_b,DE01,2008,0.005235758,0.000164918
tachsap_a,DE01,2008,-0.001128266,-0.000628678
tachsap_p,DE01,2008,9.08E-05,-0.000899939
microhab_arg,DE01,2009,9.43E-06,4.92E-06
microhab_pel,DE01,2009,0.010027936,0.000325518
microhab_psa,DE01,2009,-0.00219465,0.002265174
microhab_aka,DE01,2009,-0.006710693,0.004121418
microhab_lit,DE01,2009,-0.000875266,-0.004369408
microhab_phy,DE01,2009,0.000739451,0.00057647
microhab_pom,DE01,2009,0.001315417,0.006423303
microhab_oth,DE01,2009,0.001056463,0.000952537
tachtemp_psy,DE01,2009,0.000481692,-0.000988779
tachtemp_the,DE01,2009,0.004066236,0.002108468
tachtemp_eut,DE01,2009,-0.000160453,-0.004785487
tachsap_x,DE01,2009,0.000835752,-0.000391024
tachsap_o,DE01,2009,0.003120249,0.007966317
tachsap_b,DE01,2009,0.000379927,-0.002689679
tachsap_a,DE01,2009,0.000170914,-0.000943858
tachsap_p,DE01,2009,0.001868043,0.000739304
microhab_arg,DE01,2010,-0.000130578,-1.23E-06
microhab_pel,DE01,2010,-0.01387783,0.010364704
microhab_psa,DE01,2010,-0.001172928,0.001543886
microhab_aka,DE01,2010,0.002344971,-0.002463193
microhab_lit,DE01,2010,0.003164683,-0.010907559
microhab_phy,DE01,2010,0.001368086,-0.000135085
microhab_pom,DE01,2010,-0.000753924,0.001005166
microhab_oth,DE01,2010,-0.002233106,0.001163073
tachtemp_psy,DE01,2010,-0.003292561,0.001643082
tachtemp_the,DE01,2010,-0.005195915,0.002278079
tachtemp_eut,DE01,2010,0.00154529,-0.003450313
tachsap_x,DE01,2010,6.66E-05,-0.001442137
tachsap_o,DE01,2010,-0.008166476,-0.001433029
tachsap_b,DE01,2010,-0.002031162,-0.002164403
tachsap_a,DE01,2010,0.000160223,0.000434382
tachsap_p,DE01,2010,-0.002841215,0.000536139
microhab_arg,DE01,2011,8.56E-07,0.000180937
microhab_pel,DE01,2011,-0.006423246,-0.000501563
microhab_psa,DE01,2011,-0.000722207,-0.000992194
microhab_aka,DE01,2011,-0.000535813,-0.005497038
microhab_lit,DE01,2011,2.22E-06,-0.005077252
microhab_phy,DE01,2011,-0.003339741,0.001459614
microhab_pom,DE01,2011,-0.001582915,-0.004797001
microhab_oth,DE01,2011,-0.001164216,-2.91E-05
tachtemp_psy,DE01,2011,-0.003215891,0.000538311
tachtemp_the,DE01,2011,-0.003501917,-0.000211736
tachtemp_eut,DE01,2011,-0.000272707,-0.001901034
tachsap_x,DE01,2011,0.000188464,-0.000247789
tachsap_o,DE01,2011,0.000393318,0.001208293
tachsap_b,DE01,2011,-9.07E-05,-0.000793401
tachsap_a,DE01,2011,0.000469321,-0.000393615
tachsap_p,DE01,2011,-0.000900349,0.001295816
microhab_arg,DE01,2012,-3.64E-05,-1.31E-05
microhab_pel,DE01,2012,0.003536035,0.00052367
microhab_psa,DE01,2012,2.16E-05,0.000524064
microhab_aka,DE01,2012,-0.001593052,0.006072864
microhab_lit,DE01,2012,0.002323075,0.001116218
microhab_phy,DE01,2012,-0.000211816,0.000835118
microhab_pom,DE01,2012,-0.001349955,0.001716177
microhab_oth,DE01,2012,0.000424396,1.41E-05
tachtemp_psy,DE01,2012,0.004717584,-0.000930807
tachtemp_the,DE01,2012,0.000755223,-0.001057872
tachtemp_eut,DE01,2012,0.000743943,0.002839011
tachsap_x,DE01,2012,0,-0.000190574
tachsap_o,DE01,2012,-0.0025561,-0.000891165
tachsap_b,DE01,2012,0.000900045,0.000377013
tachsap_a,DE01,2012,-0.000318938,0.000628521
tachsap_p,DE01,2012,-0.000870029,0.000704478
microhab_arg,DE02,2000,1.27E-05,6.37E-05
microhab_pel,DE02,2000,0.001260454,0.001799299
microhab_psa,DE02,2000,0.000697323,-0.000763606
microhab_aka,DE02,2000,0.000151588,0.002788105
microhab_lit,DE02,2000,-0.002284554,-0.001701713
microhab_phy,DE02,2000,-0.001806463,0.000797159
microhab_pom,DE02,2000,0.000572841,-0.000298876
microhab_oth,DE02,2000,-0.000438342,0.000392062
tachtemp_psy,DE02,2000,1.68E-05,-0.001673769
tachtemp_the,DE02,2000,0.000135137,0.000126114
tachtemp_eut,DE02,2000,-0.000508658,-0.000216546
tachsap_x,DE02,2000,7.80E-05,-0.000160567
tachsap_o,DE02,2000,-0.000117357,-0.00050035
tachsap_b,DE02,2000,-0.000262447,8.81E-05
tachsap_a,DE02,2000,-3.00E-06,-0.000308096
tachsap_p,DE02,2000,0.000334352,-0.000112555
microhab_arg,DE02,2001,-3.57E-05,-2.07E-06
microhab_pel,DE02,2001,0.001487292,0.004548944
microhab_psa,DE02,2001,0.000368714,0.001554734
microhab_aka,DE02,2001,0.000758867,0.003229974
microhab_lit,DE02,2001,0.001515064,0.00042158
microhab_phy,DE02,2001,-0.000656729,0.003662414
microhab_pom,DE02,2001,0.000114379,-0.000148959
microhab_oth,DE02,2001,0.000323308,0.001480193
tachtemp_psy,DE02,2001,-0.001765715,-0.000665559
tachtemp_the,DE02,2001,0.000291201,0.000785403
tachtemp_eut,DE02,2001,0.000462716,0.000415595
tachsap_x,DE02,2001,-0.00032084,-0.000322464
tachsap_o,DE02,2001,-0.000405685,-2.18E-05
tachsap_b,DE02,2001,0.000135881,-0.000446508
tachsap_a,DE02,2001,0.000692054,0.001187999
tachsap_p,DE02,2001,0.000283483,0.000659269
microhab_arg,DE02,2002,4.97E-06,0.000363637
microhab_pel,DE02,2002,-0.000230553,-0.002497833
microhab_psa,DE02,2002,0.000652467,-0.00125348
microhab_aka,DE02,2002,-0.003159913,-0.000477162
microhab_lit,DE02,2002,-0.001142494,-0.00031006
microhab_phy,DE02,2002,-0.002580569,0.000737853
microhab_pom,DE02,2002,0.000394148,-0.000459247
microhab_oth,DE02,2002,-0.0006559,-0.000165539
tachtemp_psy,DE02,2002,0.000824303,0.000919851
tachtemp_the,DE02,2002,-0.000148037,-0.000410418
tachtemp_eut,DE02,2002,0.00016384,-0.00051696
tachsap_x,DE02,2002,0.000329924,0.000345865
tachsap_o,DE02,2002,0.000233083,-0.000191115
tachsap_b,DE02,2002,0.000322415,0.000329689
tachsap_a,DE02,2002,-0.000958384,-0.000647758
tachsap_p,DE02,2002,-0.000230212,-0.000233938
microhab_arg,DE02,2003,-0.00034259,1.28E-05
microhab_pel,DE02,2003,0.001239621,0.000620388
microhab_psa,DE02,2003,-1.99E-05,-0.000732434
microhab_aka,DE02,2003,-0.001367505,0.008292093
microhab_lit,DE02,2003,0.002319976,0.004584791
microhab_phy,DE02,2003,-0.0002518,0.002224684
microhab_pom,DE02,2003,0.000653027,0.00015034
microhab_oth,DE02,2003,0.000301796,0.000579845
tachtemp_psy,DE02,2003,-0.003574831,0.000163727
tachtemp_the,DE02,2003,0.000131592,0.000100436
tachtemp_eut,DE02,2003,0.000563995,-0.000763708
tachsap_x,DE02,2003,-0.00088759,-0.000603418
tachsap_o,DE02,2003,-0.000172923,9.70E-05
tachsap_b,DE02,2003,9.35E-05,-0.000241316
tachsap_a,DE02,2003,-6.28E-05,-0.000626112
tachsap_p,DE02,2003,0.000164188,2.45E-05
microhab_arg,DE02,2004,-4.72E-06,0.000343743
microhab_pel,DE02,2004,-0.003221727,-0.003341067
microhab_psa,DE02,2004,0.001654465,-0.000876482
microhab_aka,DE02,2004,-0.008218499,6.91E-05
microhab_lit,DE02,2004,-0.004934122,-0.001940522
microhab_phy,DE02,2004,0.000896925,-0.002172441
microhab_pom,DE02,2004,-0.000235062,0.000420149
microhab_oth,DE02,2004,-0.000846056,-0.00068597
tachtemp_psy,DE02,2004,-5.60E-05,0.001373614
tachtemp_the,DE02,2004,-0.000556816,-9.57E-05
tachtemp_eut,DE02,2004,0.00094333,-0.000406469
