basin,site,year,tax.richness,bio.richness,eco.richness
BE02,121000121,1996,17,0.296556016,0.331411653
BE02,121000121,1997,22,0.610337124,0.524935721
BE02,121000121,1998,22,0.324706212,0.348936939
BE02,121000121,1999,24,0.382456983,0.354983496
BE02,121000122,1995,27,0.565171634,0.445601682
BE02,121000122,1996,21,0.573352157,0.384807632
BE02,121000122,1997,27,0.666468301,0.432572184
BE02,121000122,1998,21,0.456602901,0.412879177
BE02,121000122,1999,23,0.526631792,0.376085707
BE02,121000152,1995,13,0.381334793,0.335492183
BE02,121000152,1996,16,0.307325589,0.239489516
BE02,121000152,1997,11,0.164932945,0.142346113
BE02,121000152,1998,9,0.164451212,0.093711892
BE02,121000152,1999,15,0.409934024,0.305040492
BE02,121000160,1995,30,0.504297965,0.363637637
BE02,121000160,1996,20,0.320901312,0.353305299
BE02,121000160,1997,22,0.401989619,0.239195285
BE02,121000160,1998,19,0.372767962,0.186809653
BE02,121000160,1999,23,0.503568812,0.304740523
BE02,121000225,1995,20,0.227260422,0.20600704
BE02,121000225,1996,24,0.331480871,0.253790682
BE02,121000225,1997,23,0.325306928,0.29367413
BE02,121000225,1998,26,0.38116201,0.348419634
BE02,121000225,1999,22,0.402604105,0.320694799
BE02,121000226,1995,19,0.265291728,0.252559605
BE02,121000226,1996,28,0.560256808,0.413332755
BE02,121000226,1997,25,0.486103152,0.393937864
BE02,121000226,1998,27,0.462246188,0.285104055
BE02,121000226,1999,24,0.448165845,0.240937827
BE02,121000228,1995,25,0.443828388,0.393021616
BE02,121000228,1996,21,0.389174307,0.346997699
BE02,121000228,1997,24,0.366548946,0.427416779
BE02,121000228,1998,27,0.402764183,0.366260298
BE02,121000228,1999,28,0.516784472,0.401934219
BE02,121000234,1995,19,0.287910619,0.300919552
BE02,121000234,1996,24,0.36835247,0.301567138
BE02,121000234,1997,15,0.255013818,0.227263611
BE02,121000234,1998,24,0.388335275,0.289564935
BE02,121000234,1999,18,0.3184619,0.297160503
BE02,121000235,1995,14,0.237666336,0.251046214
BE02,121000235,1996,15,0.272897189,0.252649225
BE02,121000235,1997,21,0.323517939,0.31583187
BE02,121000235,1998,17,0.29387707,0.266824195
BE02,121000235,1999,18,0.263272108,0.369417397
BE03,BEVL_VMM_100000,2000,32,0.810198728,0.642689048
BE03,BEVL_VMM_100000,2002,14,0.360049902,0.448380716
BE03,BEVL_VMM_100000,2003,12,0.235102975,0.503326372
BE03,BEVL_VMM_100000,2004,14,0.638583202,0.527690805
BE03,BEVL_VMM_100000,2005,19,0.551154472,0.726705576
BE03,BEVL_VMM_60000,2000,19,0.757484355,0.600307405
BE03,BEVL_VMM_60000,2002,17,0.558394239,0.524194514
BE03,BEVL_VMM_60000,2003,15,0.440457903,0.429339784
BE03,BEVL_VMM_60000,2004,16,0.624898466,0.424536649
BE03,BEVL_VMM_60000,2005,16,0.555548937,0.536127686
BE03,BEVL_VMM_67000,2000,18,0.536875267,0.542830359
BE03,BEVL_VMM_67000,2002,22,0.570762133,0.560934719
BE03,BEVL_VMM_67000,2003,20,0.692646501,0.334347518
BE03,BEVL_VMM_67000,2004,24,0.81012539,0.574445346
BE03,BEVL_VMM_67000,2005,27,0.576547139,0.513946517
BE03,BEVL_VMM_72000,2000,19,0.731254389,0.53605936
BE03,BEVL_VMM_72000,2002,25,0.621376154,0.522622804
BE03,BEVL_VMM_72000,2003,23,0.721379966,0.485952031
BE03,BEVL_VMM_72000,2004,30,0.819243638,0.670641242
BE03,BEVL_VMM_72000,2005,28,0.820352827,0.601576064
BE03,BEVL_VMM_72500,2000,23,0.77933742,0.60520494
BE03,BEVL_VMM_72500,2002,19,0.504693474,0.496175843
BE03,BEVL_VMM_72500,2003,18,0.535554842,0.436666319
BE03,BEVL_VMM_72500,2004,21,0.495172286,0.447418098
BE03,BEVL_VMM_72500,2005,21,0.480311901,0.421226172
BE03,BEVL_VMM_73000,2000,9,0.2928381,0.262407912
BE03,BEVL_VMM_73000,2002,8,0.546332469,0.392107257
BE03,BEVL_VMM_73000,2003,7,0.24068627,0.272677944
BE03,BEVL_VMM_73000,2004,9,0.224694733,0.270622267
BE03,BEVL_VMM_73000,2005,10,0.460486507,0.300734803
BE03,BEVL_VMM_80000,2000,20,0.47581826,0.334732883
BE03,BEVL_VMM_80000,2002,17,0.555649766,0.555404755
BE03,BEVL_VMM_80000,2003,29,0.794365198,0.692833615
BE03,BEVL_VMM_80000,2004,32,0.81625283,0.60736753
BE03,BEVL_VMM_80000,2005,31,0.672250537,0.611415851
BE03,BEVL_VMM_84000,2000,23,0.671126656,0.496711435
BE03,BEVL_VMM_84000,2002,26,0.835036643,0.728428251
BE03,BEVL_VMM_84000,2003,25,0.786229782,0.527792825
BE03,BEVL_VMM_84000,2004,24,0.743856932,0.532081048
BE03,BEVL_VMM_84000,2005,21,0.736704377,0.653730139
BE03,BEVL_VMM_86000,2000,13,0.435254045,0.30925252
BE03,BEVL_VMM_86000,2002,12,0.321341466,0.272023486
BE03,BEVL_VMM_86000,2003,21,0.615867951,0.524519825
BE03,BEVL_VMM_86000,2004,14,0.495388479,0.492254291
BE03,BEVL_VMM_86000,2005,14,0.490441285,0.55377675
BE04,BEVL_VMM_173000,1999,4,0.26184058,0.216971268
BE04,BEVL_VMM_173000,2000,5,0.288593592,0.237959228
BE04,BEVL_VMM_173000,2002,7,0.383802137,0.243836342
BE04,BEVL_VMM_173000,2003,6,0.350951013,0.243836342
BE04,BEVL_VMM_173000,2005,6,0.350951013,0.243836342
BE04,BEVL_VMM_173000,2007,15,0.475500435,0.423476247
BE04,BEVL_VMM_173000,2008,15,0.559607143,0.423476247
BE04,BEVL_VMM_173000,2009,11,0.442693673,0.411539753
BE04,BEVL_VMM_173000,2010,13,0.442693673,0.423476247
BE04,BEVL_VMM_173000,2011,12,0.153995676,0.350237981
BE04,BEVL_VMM_173000,2013,14,0.453429819,0.546255283
BE04,BEVL_VMM_173000,2015,16,0.465743353,0.698864628
BE04,BEVL_VMM_173000,2016,18,0.461507208,0.729203234
BE04,BEVL_VMM_173000,2018,10,0.323338303,0.493399867
BE04,BEVL_VMM_173000,2019,10,0.309256239,0.462160513
BE04,BEVL_VMM_173000,2020,13,0.397355311,0.63686389
BE04,BEVL_VMM_173000,2022,6,0.301036697,0.316283879
BE04,BEVL_VMM_173000,2023,8,0.309256239,0.391300059
BE04,BEVL_VMM_179000,1999,8,0.394744601,0.190488803
BE04,BEVL_VMM_179000,2000,9,0.445553809,0.247437922
BE04,BEVL_VMM_179000,2002,16,0.607709088,0.460325345
BE04,BEVL_VMM_179000,2003,13,0.45858497,0.418593845
BE04,BEVL_VMM_179000,2005,12,0.424805807,0.420709078
BE04,BEVL_VMM_179000,2007,12,0.453709126,0.335919988
BE04,BEVL_VMM_179000,2008,11,0.45858497,0.332853801
BE04,BEVL_VMM_179000,2009,13,0.45858497,0.418593845
BE04,BEVL_VMM_179000,2010,13,0.45858497,0.351844388
BE04,BEVL_VMM_179000,2011,13,0.45858497,0.423476247
BE04,BEVL_VMM_179000,2013,16,0.519795322,0.35851078
BE04,BEVL_VMM_179000,2015,12,0.471465801,0.232750143
BE04,BEVL_VMM_179000,2016,16,0.420541039,0.432062288
BE04,BEVL_VMM_179000,2018,14,0.461507208,0.544516841
BE04,BEVL_VMM_179000,2019,6,0.30397965,0.328136118
BE04,BEVL_VMM_179000,2020,13,0.455574504,0.412748446
BE04,BEVL_VMM_179000,2022,13,0.574179715,0.43540321
BE04,BEVL_VMM_179000,2023,16,0.59624617,0.674546455
BE04,BEVL_VMM_657000,1999,19,0.526601885,0.359637226
BE04,BEVL_VMM_657000,2000,29,0.569048107,0.439754425
BE04,BEVL_VMM_657000,2002,32,0.556151659,0.468743345
BE04,BEVL_VMM_657000,2003,30,0.592537523,0.488445047
BE04,BEVL_VMM_657000,2005,37,0.541683733,0.540406769
BE04,BEVL_VMM_657000,2007,35,0.659753943,0.566488373
BE04,BEVL_VMM_657000,2008,29,0.636389012,0.489316644
BE04,BEVL_VMM_657000,2009,31,0.731347969,0.523842237
BE04,BEVL_VMM_657000,2010,24,0.558891365,0.422978967
BE04,BEVL_VMM_657000,2011,34,0.673776242,0.49933426
BE04,BEVL_VMM_657000,2013,29,0.677821951,0.724101627
BE04,BEVL_VMM_657000,2015,29,0.673556595,0.46853785
BE04,BEVL_VMM_657000,2016,36,0.70668847,0.911686283
BE04,BEVL_VMM_657000,2018,35,0.741370458,0.555599875
BE04,BEVL_VMM_657000,2019,39,0.806518894,0.743442463
BE04,BEVL_VMM_657000,2020,38,0.840572934,0.521066932
BE04,BEVL_VMM_657000,2022,32,0.734260806,0.445106417
BE04,BEVL_VMM_657000,2023,35,0.686240841,0.473326106
BE04,BEVL_VMM_744000,1999,3,NA,NA
BE04,BEVL_VMM_744000,2000,3,NA,NA
BE04,BEVL_VMM_744000,2002,2,NA,NA
BE04,BEVL_VMM_744000,2005,5,0.227848146,0.324771563
BE04,BEVL_VMM_744000,2007,5,0.159503459,0.24496222
BE04,BEVL_VMM_744000,2008,8,0.394281256,0.284566017
BE04,BEVL_VMM_744000,2009,9,0.424456483,0.313947574
BE04,BEVL_VMM_744000,2010,9,0.441161094,0.349780996
BE04,BEVL_VMM_744000,2011,9,0.412414027,0.315791262
BE04,BEVL_VMM_744000,2013,12,0.457124915,0.364627274
BE04,BEVL_VMM_744000,2015,9,0.548972612,0.296376772
BE04,BEVL_VMM_744000,2016,9,0.180795835,0.364721098
BE04,BEVL_VMM_744000,2018,8,0.35123032,0.292376492
BE04,BEVL_VMM_744000,2019,7,0.35123032,0.247916397
BE04,BEVL_VMM_744000,2020,7,0.35123032,0.247916397
BE04,BEVL_VMM_744000,2022,24,0.679419095,0.373621426
BE04,BEVL_VMM_744000,2023,11,0.397841073,0.337179078
BE04,BEVL_VMM_745000,1999,4,0.144268713,0.245156209
BE04,BEVL_VMM_745000,2000,3,NA,NA
BE04,BEVL_VMM_745000,2002,2,NA,NA
BE04,BEVL_VMM_745000,2003,4,0.242538846,0.089293699
BE04,BEVL_VMM_745000,2005,2,NA,NA
BE04,BEVL_VMM_745000,2007,3,NA,NA
BE04,BEVL_VMM_745000,2008,5,0.204816501,0.258765326
BE04,BEVL_VMM_745000,2009,8,0.305170823,0.330934747
BE04,BEVL_VMM_745000,2010,7,0.397189874,0.249268624
BE04,BEVL_VMM_745000,2011,6,0.283412539,0.307335512
BE04,BEVL_VMM_745000,2013,9,0.489037571,0.296376772
BE04,BEVL_VMM_745000,2015,12,0.649038055,0.349200386
BE04,BEVL_VMM_745000,2016,9,0.365105864,0.2814486
BE04,BEVL_VMM_745000,2018,13,0.639054094,0.364834269
BE04,BEVL_VMM_745000,2019,19,0.6323656,0.421931492
BE04,BEVL_VMM_745000,2020,7,0.281438414,0.336990466
BE04,BEVL_VMM_745000,2022,11,0.548706275,0.3147004
BE04,BEVL_VMM_745000,2023,7,0.217643167,0.318397386
BE05,BEVL_VMM_257200,1995,18,0.567754204,0.820674394
BE05,BEVL_VMM_257200,1996,19,0.637007832,0.55728237
BE05,BEVL_VMM_257200,1997,13,0.533609629,0.423357836
BE05,BEVL_VMM_257200,1999,18,0.584214903,0.504834526
BE05,BEVL_VMM_257200,2001,26,0.841844368,0.494587134
BE05,BEVL_VMM_257200,2002,27,0.678471375,0.594936692
BE05,BEVL_VMM_257200,2003,26,0.67851536,0.580471677
BE05,BEVL_VMM_257200,2004,26,0.75565936,0.605709257
BE05,BEVL_VMM_257200,2005,32,0.676587559,0.558376944
BE05,BEVL_VMM_257200,2006,33,0.779957484,0.622288384
BE05,BEVL_VMM_305000,1995,21,0.604055051,0.504740327
BE05,BEVL_VMM_305000,1996,27,0.718023038,0.637568715
BE05,BEVL_VMM_305000,1997,25,0.678063954,0.674529937
BE05,BEVL_VMM_305000,1999,18,0.496956415,0.535716168
BE05,BEVL_VMM_305000,2001,26,0.695279949,0.56442693
BE05,BEVL_VMM_305000,2002,32,0.744900869,0.638247699
BE05,BEVL_VMM_305000,2003,34,0.755984655,0.585871812
BE05,BEVL_VMM_305000,2004,32,0.576701629,0.63469086
BE05,BEVL_VMM_305000,2005,31,0.629520673,0.580748866
BE05,BEVL_VMM_305000,2006,33,0.690795689,0.606243637
BE05,BEVL_VMM_315800,1995,13,0.540475383,0.448243872
BE05,BEVL_VMM_315800,1996,12,0.588381336,0.453691702
BE05,BEVL_VMM_315800,1997,17,0.546638196,0.580471677
BE05,BEVL_VMM_315800,1999,15,0.581908086,0.507426274
BE05,BEVL_VMM_315800,2001,15,0.58563623,0.514727448
BE05,BEVL_VMM_315800,2002,17,0.519439431,0.507887987
BE05,BEVL_VMM_315800,2003,19,0.558725681,0.570755562
BE05,BEVL_VMM_315800,2004,16,0.513582026,0.558488072
BE05,BEVL_VMM_315800,2005,24,0.676694175,0.585850169
BE05,BEVL_VMM_315800,2006,15,0.511939452,0.466266862
BE05,BEVL_VMM_329000,1995,22,0.63197187,0.519408968
BE05,BEVL_VMM_329000,1996,15,0.574064708,0.517261668
BE05,BEVL_VMM_329000,1997,21,0.645525644,0.64728031
BE05,BEVL_VMM_329000,1999,19,0.626103024,0.553771124
BE05,BEVL_VMM_329000,2001,20,0.600109842,0.497604162
BE05,BEVL_VMM_329000,2002,22,0.529562613,0.596793613
BE05,BEVL_VMM_329000,2003,26,0.782317232,0.522520549
BE05,BEVL_VMM_329000,2004,26,0.66531946,0.599373386
BE05,BEVL_VMM_329000,2005,32,0.754098218,0.521467407
BE05,BEVL_VMM_329000,2006,19,0.617171368,0.498431523
BE05,BEVL_VMM_499500,1995,6,0.274218864,0.178320473
BE05,BEVL_VMM_499500,1996,3,NA,NA
BE05,BEVL_VMM_499500,1997,8,0.543155288,0.433491879
BE05,BEVL_VMM_499500,1999,5,0.22704717,0.171571863
BE05,BEVL_VMM_499500,2001,10,0.492259262,0.450538639
BE05,BEVL_VMM_499500,2002,15,0.613816052,0.521629418
BE05,BEVL_VMM_499500,2003,11,0.482575895,0.324757697
BE05,BEVL_VMM_499500,2004,12,0.596741402,0.358406782
BE05,BEVL_VMM_499500,2005,12,0.482575895,0.324757697
BE05,BEVL_VMM_499500,2006,9,0.393705139,0.294643258
CR01,112000002,2013,12,0.365475128,0.196832352
CR01,112000002,2014,10,0.403367752,0.293890786
CR01,112000002,2015,8,0.299302869,0.106775075
CR01,112000002,2016,17,0.441157387,0.326868101
CR01,112000002,2017,18,0.359981343,0.379067311
CR01,112000002,2018,14,0.291915638,0.384877649
CR01,112000002,2019,18,0.358783784,0.366101563
CR01,112000002,2020,20,0.331948643,0.367281696
CR01,112000002,2021,21,0.546782033,0.362508938
CR01,112000003,2013,16,0.444606391,0.395555251
CR01,112000003,2014,8,0.392520802,0.271673439
CR01,112000003,2015,13,0.295735304,0.333956743
CR01,112000003,2016,15,0.505153725,0.338611823
CR01,112000003,2017,16,0.524428343,0.363945467
CR01,112000003,2018,22,0.598690087,0.39453715
CR01,112000003,2019,19,0.53710126,0.326286349
CR01,112000003,2020,18,0.537323387,0.337988286
CR01,112000003,2021,19,0.435483095,0.395959284
CR01,112000006,2013,12,0.609963891,0.494123457
CR01,112000006,2014,7,0.318718084,0.125007305
CR01,112000006,2015,14,0.620438086,0.362075416
CR01,112000006,2016,18,0.565292393,0.489501843
CR01,112000006,2017,12,0.569331033,0.387861605
CR01,112000006,2018,10,0.649859211,0.379709047
CR01,112000006,2019,12,0.485613887,0.369082026
CR01,112000006,2020,13,0.424690464,0.315001529
CR01,112000006,2021,8,0.310801568,0.21734442
CR01,112000013,2013,7,0.372874476,0.182800499
CR01,112000013,2014,14,0.419425114,0.50115113
CR01,112000013,2015,8,0.553938632,0.272011288
CR01,112000013,2016,14,0.45674799,0.56325538
CR01,112000013,2017,8,0.340304486,0.241102588
CR01,112000013,2018,17,0.534776919,0.636460289
CR01,112000013,2019,12,0.472015615,0.462859573
CR01,112000013,2020,15,0.78069107,0.636460289
CR01,112000013,2021,10,0.392418788,0.263309905
CR01,112000018,2013,4,0.190057306,NA
CR01,112000018,2014,7,0.27345354,0.167818366
CR01,112000018,2015,9,0.464542831,0.238431287
CR01,112000018,2016,10,0.424969824,0.326794512
CR01,112000018,2017,7,0.428044581,0.224132998
CR01,112000018,2018,16,0.492405117,0.316685309
CR01,112000018,2019,10,0.44312738,0.238431287
CR01,112000018,2020,10,0.409802902,0.257944608
CR01,112000018,2021,4,0.162493126,NA
CR01,112000019,2013,10,0.437569651,0.248645193
CR01,112000019,2014,6,0.25469293,0.193522114
CR01,112000019,2015,6,0.322005534,0.225839255
CR01,112000019,2016,13,0.435625976,0.2910307
CR01,112000019,2017,9,0.401913401,0.18567714
CR01,112000019,2018,18,0.551299723,0.553177571
CR01,112000019,2019,7,0.207306295,0.234143265
CR01,112000019,2020,17,0.677988558,0.263830512
CR01,112000019,2021,10,0.344443553,0.55046525
CR01,112000020,2013,13,0.547528139,0.304144039
CR01,112000020,2014,15,0.529680532,0.538032767
CR01,112000020,2015,14,0.563614023,0.459823158
CR01,112000020,2016,20,0.598585733,0.326038283
CR01,112000020,2017,17,0.57990549,0.264368985
CR01,112000020,2018,13,0.561024933,0.237754735
CR01,112000020,2019,14,0.604715265,0.264368985
CR01,112000020,2020,20,0.592580226,0.326038283
CR01,112000020,2021,12,0.366566721,0.231234792
CR01,112000021,2013,13,0.444107489,0.503739871
CR01,112000021,2014,15,0.532207757,0.636460289
CR01,112000021,2015,12,0.41122971,0.534147929
CR01,112000021,2016,15,0.573838205,0.366372041
CR01,112000021,2017,24,0.617601872,0.649742515
CR01,112000021,2018,21,0.653584088,0.404160256
CR01,112000021,2019,19,0.695699999,0.353305031
CR01,112000021,2020,20,0.6589391,0.388185601
CR01,112000021,2021,15,0.548404961,0.26568983
CR01,112000027,2013,12,0.435751447,0.552189448
CR01,112000027,2014,10,0.364068887,0.224097606
CR01,112000027,2015,8,0.33237655,0.23298312
CR01,112000027,2016,9,0.176920096,0.200434551
CR01,112000027,2017,13,0.621396733,0.353569198
CR01,112000027,2018,10,0.298221545,0.538032767
CR01,112000027,2019,8,0.356956223,0.212604804
CR01,112000027,2020,11,0.429940872,0.410010564
CR01,112000027,2021,4,0.055088153,0.056012156
CR01,112000103,2013,18,0.532658306,0.37223809
CR01,112000103,2014,13,0.52767763,0.36610237
CR01,112000103,2015,13,0.564416692,0.248294891
CR01,112000103,2016,8,0.278304719,0.196103988
CR01,112000103,2017,12,0.490591402,0.19190986
CR01,112000103,2018,10,0.488305454,0.183871932
CR01,112000103,2019,12,0.58676721,0.214260941
CR01,112000103,2020,18,0.527427702,0.511061298
CR01,112000103,2021,19,0.641655757,0.495655917
CR01,112000116,2013,13,0.513444795,0.327242307
CR01,112000116,2014,9,0.359716361,0.22238807
CR01,112000116,2015,14,0.424915188,0.315209297
CR01,112000116,2016,10,0.499385993,0.302379064
CR01,112000116,2017,25,0.511891815,0.387153881
CR01,112000116,2018,20,0.454819295,0.54256628
CR01,112000116,2019,14,0.455205723,0.347240854
CR01,112000116,2020,10,0.416397289,0.381852675
CR01,112000116,2021,8,0.391139701,0.309176903
CR01,112000130,2013,16,0.410699981,0.347358523
CR01,112000130,2014,19,0.46474536,0.482515018
CR01,112000130,2015,20,0.461744905,0.418371404
CR01,112000130,2016,21,0.548232171,0.495228775
CR01,112000130,2017,22,0.464485943,0.382949813
CR01,112000130,2018,25,0.632231627,0.409291573
CR01,112000130,2019,14,0.442135948,0.353019238
CR01,112000130,2020,19,0.510034884,0.486662227
CR01,112000130,2021,20,0.382848613,0.379822287
CR01,112000131,2013,15,0.540775812,0.395415901
CR01,112000131,2014,20,0.383229647,0.433259979
CR01,112000131,2015,18,0.510184864,0.387895438
CR01,112000131,2016,17,0.418344881,0.278696675
CR01,112000131,2017,9,0.211603738,0.256492928
CR01,112000131,2018,16,0.672403353,0.466037286
CR01,112000131,2019,15,0.390442381,0.66254956
CR01,112000131,2020,24,0.533130147,0.693800428
CR01,112000131,2021,18,0.512127203,0.557452382
CR02,112000137,2012,34,0.446976688,0.404937565
CR02,112000137,2013,33,0.526172776,0.322985444
CR02,112000137,2014,36,0.546999666,0.368369733
CR02,112000137,2015,30,0.546097809,0.308955292
CR02,112000137,2016,22,0.382076935,0.24689932
CR02,112000137,2017,27,0.456311986,0.2432607
CR02,112000137,2018,25,0.54501854,0.198206087
CR02,112000145,2012,30,0.584352185,0.24620206
CR02,112000145,2013,28,0.53895797,0.241770104
CR02,112000145,2014,30,0.5523369,0.275360897
CR02,112000145,2015,24,0.431506153,0.252501197
CR02,112000145,2016,30,0.498472475,0.271068985
CR02,112000145,2017,30,0.506684605,0.284987516
CR02,112000145,2018,31,0.671807582,0.269529464
CR02,112000147,2012,30,0.472959302,0.259238416
CR02,112000147,2013,36,0.575938495,0.344001057
CR02,112000147,2014,33,0.535870336,0.330192949
CR02,112000147,2015,30,0.445563429,0.336524581
CR02,112000147,2016,30,0.516412236,0.337647768
CR02,112000147,2017,28,0.448226007,0.396362937
CR02,112000147,2018,33,0.502730355,0.392827011
CR02,112000149,2012,40,0.647600842,0.331932798
CR02,112000149,2013,34,0.535940557,0.300419843
CR02,112000149,2014,40,0.709054496,0.410970565
CR02,112000149,2015,32,0.573632342,0.343542612
CR02,112000149,2016,42,0.610088257,0.357850347
CR02,112000149,2017,29,0.601689943,0.254908149
CR02,112000149,2018,26,0.541403553,0.236997765
CR02,112000154,2012,44,0.597347446,0.474415681
CR02,112000154,2013,35,0.57209015,0.380869834
CR02,112000154,2014,31,0.506303513,0.310400638
CR02,112000154,2015,33,0.541879023,0.247951232
CR02,112000154,2016,33,0.558622056,0.369037339
CR02,112000154,2017,34,0.591368462,0.407438149
CR02,112000154,2018,41,0.754460403,0.439027359
CR02,112000157,2012,14,0.314217741,0.156818505
CR02,112000157,2013,26,0.491933628,0.268531673
CR02,112000157,2014,29,0.71375077,0.25845406
CR02,112000157,2015,26,0.491587059,0.265894553
CR02,112000157,2016,29,0.541938382,0.271418825
CR02,112000157,2017,26,0.377173315,0.290022204
CR02,112000157,2018,21,0.376974837,0.145778558
CR02,112000158,2012,38,0.590015403,0.391502245
CR02,112000158,2013,41,0.636014206,0.450758037
CR02,112000158,2014,38,0.502126193,0.349973987
CR02,112000158,2015,35,0.493989878,0.361394579
CR02,112000158,2016,37,0.576036685,0.377189386
CR02,112000158,2017,37,0.633591824,0.387045153
CR02,112000158,2018,41,0.729955566,0.445981375
CR02,112000210,2012,42,0.665785346,0.404338101
CR02,112000210,2013,39,0.558980302,0.382474914
CR02,112000210,2014,36,0.595031779,0.328829312
CR02,112000210,2015,34,0.467283402,0.379611388
CR02,112000210,2016,34,0.582585915,0.356434474
CR02,112000210,2017,39,0.73443296,0.392097468
CR02,112000210,2018,37,0.663095784,0.354194887
DE01,107000069,1999,13,0.148236382,0.139863986
DE01,107000069,2000,12,0.20874676,0.136756232
DE01,107000069,2001,20,0.288261269,0.231658681
DE01,107000069,2002,16,0.304004909,0.122207254
DE01,107000069,2003,14,0.162612817,0.193096938
DE01,107000069,2004,15,0.316818245,0.33671348
DE01,107000069,2005,15,0.163387478,0.159070966
DE01,107000069,2006,25,0.259766446,0.286607246
DE01,107000069,2007,24,0.407886956,0.204437903
DE01,107000069,2008,21,0.245184253,0.208552546
DE01,107000069,2009,19,0.279018853,0.246690085
DE01,107000069,2010,15,0.159338579,0.157030127
DE01,107000069,2011,18,0.193288627,0.170703764
DE01,107000069,2012,20,0.224019846,0.24814292
DE01,107000070,1999,18,0.294252225,0.187058714
DE01,107000070,2000,22,0.454184167,0.323074989
DE01,107000070,2001,20,0.414672302,0.2256442
DE01,107000070,2002,30,0.640266811,0.571846929
DE01,107000070,2003,22,0.427664082,0.27920048
DE01,107000070,2004,17,0.371717774,0.377978681
DE01,107000070,2005,21,0.4437931,0.216875249
DE01,107000070,2006,31,0.607842926,0.488762534
DE01,107000070,2007,28,0.607634594,0.417270752
DE01,107000070,2008,13,0.278623655,0.248469186
DE01,107000070,2009,12,0.299459322,0.198285631
DE01,107000070,2010,12,0.345383312,0.119790546
DE01,107000070,2011,17,0.45064848,0.30646792
DE01,107000070,2012,24,0.479757921,0.508678885
DE01,107000085,1999,12,0.193406323,0.183015537
DE01,107000085,2000,12,0.230748465,0.101956093
DE01,107000085,2001,20,0.319690348,0.291634675
DE01,107000085,2002,19,0.388264227,0.261446818
DE01,107000085,2003,12,0.154274369,0.175520679
DE01,107000085,2004,24,0.288672793,0.355951165
DE01,107000085,2005,22,0.345572995,0.430120464
DE01,107000085,2006,23,0.334695872,0.31857491
DE01,107000085,2007,19,0.40314513,0.304204179
DE01,107000085,2008,21,0.441299812,0.278441118
DE01,107000085,2009,27,0.398605112,0.407215667
DE01,107000085,2010,17,0.367233572,0.26028121
DE01,107000085,2011,20,0.401077423,0.268037427
DE01,107000085,2012,27,0.478740296,0.500877469
DE01,107000088,1999,11,0.171160431,0.184996429
DE01,107000088,2000,15,0.305848979,0.272835236
DE01,107000088,2001,16,0.271076548,0.293417618
DE01,107000088,2002,12,0.120677219,0.221785069
DE01,107000088,2003,16,0.314609657,0.247800519
DE01,107000088,2004,20,0.24029541,0.404109483
DE01,107000088,2005,25,0.341743805,0.478087158
DE01,107000088,2006,22,0.325079491,0.321148774
DE01,107000088,2007,18,0.312994918,0.234964583
DE01,107000088,2008,22,0.468865443,0.294727737
